epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.105,1.2929,1.9692,1.27064,0.86967,0.88226,0.93048,0.60808,1.11425,0.93144,1.13419,0.000369644,0.000369644,0.000369644
2,187.608,1.20417,1.19849,1.19497,0.96918,0.92186,0.96577,0.65039,1.05882,0.76868,1.12557,0.000666719,0.000666719,0.000666719
3,277.754,1.16562,1.04033,1.16745,0.95635,0.93934,0.97193,0.66012,1.03639,0.70763,1.11851,0.000890469,0.000890469,0.000890469
4,367.997,1.13356,0.92386,1.15204,0.96908,0.93742,0.97805,0.67203,1.02803,0.67096,1.0972,0.000781033,0.000781033,0.000781033
5,458.472,1.09581,0.81255,1.11965,0.96814,0.95405,0.98103,0.67947,1.01222,0.61769,1.08931,0.000671044,0.000671044,0.000671044
6,547.841,1.06705,0.74026,1.10693,0.9758,0.95335,0.98306,0.68832,0.98631,0.5828,1.0801,0.000561055,0.000561055,0.000561055
7,636.868,1.03063,0.68256,1.08076,0.96292,0.96131,0.98241,0.69502,0.96721,0.5588,1.06135,0.000451066,0.000451066,0.000451066
8,726.008,0.99241,0.63831,1.06295,0.97856,0.96161,0.98489,0.71149,0.93718,0.51172,1.04336,0.000341077,0.000341077,0.000341077
9,815.119,0.96469,0.60692,1.0474,0.97899,0.96881,0.98693,0.72313,0.91448,0.49381,1.0366,0.000231088,0.000231088,0.000231088
10,904.061,0.93338,0.56579,1.03241,0.98247,0.97171,0.98747,0.72941,0.89289,0.46508,1.02133,0.000121099,0.000121099,0.000121099
